num|url|title|category|data
1|https://www.spr.by/branches/sosedi/reviews/|Товаровед не справляется с работой и хамит покупателям|Ресторан и еда|Купила острые сухарики к пиву. Когда развернула оказалось что они не острые, без специй. Это просто высохший серый хлеб. Абсолютно безвкусный. Ощущение будто делали из просрочки.
2|https://www.spr.by/branches/sosedi/reviews/|Товаровед не справляется с работой и хамит покупателям|Ресторан и еда|Купила утку маринованную, 06. 01. 23. Испорченная. Спасибо.
3|site.ru/utilities-1|Коммунальные платежи|Жилье|Заплатил за коммунальные услуги за прошлый месяц. В сумму вошли вода, электричество и отопление. Оплату сделал через личный кабинет.
4|site.ru/mortgage-1|Ипотечный платеж|Жилье|Внес ежемесячный платеж по ипотеке. Банк автоматически списал средства с карты. Это обязательный регулярный расход.
5|site.ru/rent-room|Съем комнаты|Жилье|Оплатил аренду комнаты в квартире. Перевел деньги арендодателю на карту. Цена ниже, чем за отдельную квартиру.
6|site.ru/water-bill|Оплата воды|Жилье|Заплатил за холодную и горячую воду. Счет сформирован по показаниям счетчиков. Оплату провел онлайн.
7|site.ru/heating|Отопление|Жилье|Оплатил отопление за зимний период. Сумма получилась довольно высокой. Это сезонный расход.
8|site.ru/repair-fund|Фонд капремонта|Жилье|Оплатил взнос в фонд капитального ремонта. Этот платеж начисляется ежемесячно. Деньги идут на ремонт дома.
9|site.ru/rent-house|Аренда дома|Жилье|Снял дом и оплатил аренду за месяц. Сделал перевод владельцу. Стоимость выше, чем у квартиры.
10|site.ru/gas|Оплата газа|Жилье|Заплатил за газ по счетчику. Используется для приготовления пищи и отопления. Оплату сделал через приложение.
11|site.ru/internet-home|Домашний интернет|Жилье|Оплатил домашний интернет на месяц вперед. Без этого сложно работать из дома. Платеж регулярный.
12|site.ru/parking|Парковка у дома|Жилье|Заплатил за парковочное место возле дома. Это ежемесячная аренда. Удобно, но добавляет расходов.
13|site.ru/cleaning|Уборка квартиры|Жилье|Заказал уборку квартиры и оплатил услугу. Клинеры пришли и все привели в порядок. Это нечастый, но полезный расход.
14|site.ru/security|Охрана дома|Жилье|Оплатил услуги охраны жилого комплекса. Включает видеонаблюдение и контроль доступа. Чувствую себя безопаснее.
15|site.ru/deposit|Залог за квартиру|Жилье|Внес залог при съеме квартиры. Деньги удерживаются до окончания аренды. Это стандартная практика.
16|site.ru/agency|Услуги риелтора|Жилье|Оплатил комиссию агентству недвижимости. Они помогли найти квартиру. Разовый, но ощутимый расход.
17|site.ru/furniture-rent|Аренда мебели|Жилье|Взял мебель в аренду и оплатил первый месяц. Это временное решение. Удобно при переезде.
18|site.ru/trash|Вывоз мусора|Жилье|Оплатил услугу вывоза мусора. Включена в коммунальные платежи. Сумма небольшая.
19|site.ru/intercom|Домофон|Жилье|Заплатил за обслуживание домофона. Это ежемесячный платеж. Обеспечивает доступ в подъезд.
20|site.ru/lighting|Освещение подъезда|Жилье|Оплатил освещение общих зон в доме. Входит в коммунальные услуги. Начисляется автоматически.
21|site.ru/elevator|Лифт|Жилье|Заплатил за обслуживание лифта. Это часть платежей за содержание дома. Без этого не обойтись.
22|site.ru/yard|Благоустройство|Жилье|Оплатил благоустройство двора. Включает уборку и озеленение. Делает территорию приятнее.
23|site.ru/rent-studio|Аренда студии|Жилье|Снял студию и оплатил проживание. Перевел деньги владельцу. Жилье компактное, но удобное.
24|site.ru/hostel|Хостел|Жилье|Оплатил проживание в хостеле. Это бюджетный вариант жилья. Подходит для коротких поездок.
25|site.ru/hotel-long|Длительное проживание|Жилье|Оплатил проживание в отеле на длительный срок. Это временная мера. Стоимость выше аренды.
26|site.ru/mortgage-insurance|Страховка ипотеки|Жилье|Оплатил страховку по ипотеке. Это обязательное условие банка. Платеж ежегодный.
27|site.ru/property-tax|Налог на имущество|Жилье|Заплатил налог на квартиру. Сумма зависит от стоимости недвижимости. Платеж ежегодный.
28|site.ru/rent-garage|Аренда гаража|Жилье|Снял гараж и оплатил аренду. Использую для хранения вещей. Удобное дополнение к жилью.
29|site.ru/maintenance|Обслуживание дома|Жилье|Оплатил услуги управляющей компании. Включает ремонт и обслуживание. Это регулярный платеж.
30|site.ru/window-clean|Мытье окон|Жилье|Заказал мытье окон в квартире. Оплатил услугу клининга. Делается несколько раз в год.
31|site.ru/pest-control|Обработка от вредителей|Жилье|Оплатил обработку квартиры от насекомых. Специалисты провели дезинфекцию. Это разовый расход.
32|site.ru/wifi-install|Подключение интернета|Жилье|Заплатил за подключение интернета. Мастер настроил оборудование. Теперь есть стабильный доступ.
33|site.ru/key-service|Изготовление ключей|Жилье|Сделал дубликаты ключей от квартиры. Оплатил услугу в мастерской. Полезно на случай потери.
34|site.ru/utility-penalty|Пени за коммуналку|Жилье|Заплатил пени за просрочку коммунальных платежей. Сумма небольшая, но неприятная. Теперь стараюсь платить вовремя.
35|site.ru/clean-entrance|Уборка подъезда|Жилье|Оплатил уборку подъезда. Услуга включена в содержание дома. Поддерживает чистоту.
36|site.ru/snow-removal|Уборка снега|Жилье|Оплатил уборку снега во дворе. Это сезонная услуга. Делает передвижение безопаснее.
37|site.ru/gas-45|Газ|Жилье|Оплатил газ, там копейки, но всё равно надо. По счетчику насчитали. Закрыл через приложение.
38|site.ru/hoa-48|ТСЖ|Жилье|Заплатил за ТСЖ, там всякие услуги по дому. Типа уборка, обслуживание и всё такое. Обычный ежемесячный расход.
39|site.ru/clean-52|Уборка|Жилье|Заказал уборку квартиры, вообще лень было самому. Заплатил ребятам, они всё сделали. Иногда можно себе позволить.
40|site.ru/security-53|Охрана|Жилье|Оплатил охрану в жилом комплексе. Там камеры, пропуска и всё такое. Вроде спокойнее стало.
41|site.ru/deposit-55|Залог|Жилье|Отдал залог за квартиру при заселении. Деньги немаленькие, конечно. Надеюсь потом вернут без проблем.
42|site.ru/agency-56|Риелтор|Жилье|Заплатил агенту за помощь с квартирой. Без него бы долго искал. Но комиссия прям ощутимая.
43|site.ru/intercom-59|Домофон|Жилье|Заплатил за домофон, а то могли отключить. Платеж копеечный, но обязательный. Теперь всё работает.
44|site.ru/studio-62|Студия|Жилье|Оплатил аренду студии, живу сейчас тут. Маленькая, но норм. Деньги перевел как обычно.
45|site.ru/hostel-63|Хостел|Жилье|Заплатил за хостел на пару дней. Бюджетно получилось. Для временного проживания норм.
46|site.ru/airbnb-65|Аренда посуточно|Жилье|Снял квартиру на пару дней через сервис. Сразу оплатил онлайн. Удобно, быстро заселился.
